player,player_id,Career_MP,Career_WS,Career_VORP,All_Star_Selections,All_NBA_Selections,OutcomeClass
Anthony Pullard,pullaan01,37.0,-0.1,-0.1,0,0,Rotational
Anthony Randolph,randoan01,4431.0,6.300000000000001,0.5,0,0,Rotational
Anthony Roberson,roberan02,867.0,0.7,0.1,0,0,Rotational
Anthony Roberts,roberan01,3867.0,3.3,-2.3,0,0,Rotational
Anthony Taylor,tayloan01,368.0,0.2,0.0,0,0,Rotational
Anthony Tolliver,tollian01,17928.0,31.7,3.2,0,0,Starter
Anthony Tucker,tuckean01,982.0,0.6,-0.3,0,0,Rotational
Antoine Carr,carran01,21507.0,45.5,4.6,0,0,Starter
Antoine Rigaudeau,rigauan01,91.0,-0.4,-0.3,0,0,Rotational
Antoine Walker,walkean02,34486.0,39.1,19.3,3,1,All-Star
Antoine Wright,wrighan01,6946.0,3.8,-2.7,0,0,Rotational
Anton Watson,watsoan02,22.0,0.0,0.0,0,0,Rotational
Antonio Anderson,anderan02,15.0,0.0,0.0,0,0,Rotational
Antonio Blakeney,blakean01,1143.0,-0.5,-1.0,0,0,Rotational
Antonio Burks,burksan01,789.0,0.09999999999999998,-0.6,0,0,Rotational
Antonio Daniels,daniean01,20692.0,48.5,10.0,0,0,Starter
Antonio Davis,davisan01,29594.0,63.8,3.8000000000000003,1,0,All-Star
Antonio Harvey,harvean01,2775.0,5.551115123125783e-17,-2.2,0,0,Rotational
Antonio Lang,langan02,1433.0,1.7,-0.6,0,0,Rotational
Antonio McDyess,mcdyean01,28980.0,71.0,12.899999999999999,1,0,All-Star
Antonio Reeves,reevean01,728.0,0.6000000000000001,-0.1,0,0,Rotational
Antonis Fotsis,fotsian01,320.0,0.1,-0.1,0,0,Rotational
Antonius Cleveland,clevean01,292.0,-0.1,-0.30000000000000004,0,0,Rotational
Anžejs Pasečņiks,pasecan01,443.0,0.4,-0.5,0,0,Rotational
Archie Clark,clarkar01,26866.0,75.8,2.4,2,1,All-Star
Archie Dees,deesar01,3380.0,6.1000000000000005,0.0,0,0,Rotational
Archie Goodwin,goodwar01,2610.0,1.9,-0.5,0,0,Rotational
Ariel Hukporti,hukpoar01,715.0,1.3,-0.2,0,0,Rotational
Ariel Maughan,maughar01,0.0,5.2,0.0,0,0,Rotational
Arinze Onuaku,onuakar01,156.0,0.3,0.1,0,0,Rotational
Armand Cure,curear01,0.0,0.0,0.0,0,0,Rotational
Armel Traoré,armeltr01,67.0,-0.1,-0.1,0,0,Rotational
Armen Gilliam,gilliar01,31491.0,67.3,9.6,0,0,All-Star
Armon Johnson,johnsar02,525.0,-0.09999999999999998,-0.2,0,0,Rotational
Armond Hill,hillar01,14246.0,11.8,-2.0,0,0,Starter
Armoni Brooks,brookar01,2312.0,0.7,-1.1,0,0,Rotational
Arnett Moultrie,moultar01,729.0,1.7,-0.19999999999999998,0,0,Rotational
Arnie Ferrin,ferriar01,0.0,7.6,0.0,0,0,Rotational
Arnie Johnson,johnsar01,4142.0,39.2,0.0,0,0,Starter
Arnie Risen,risenar01,12690.0,55.9,0.0,4,0,All-Star
Arnoldas Kulboka,kulboar01,5.0,0.0,0.0,0,0,Rotational
Aron Baynes,baynear01,8370.0,20.2,-0.8,0,0,Starter
Arron Afflalo,afflaar01,23331.0,36.2,2.1,0,0,Starter
Art Becker,beckear01,12293.0,32.8,0.0,2,0,All-Star
Art Burris,burriar01,1028.0,-1.9,0.0,0,0,Rotational
Art Collins,colliar01,395.0,-0.4,-0.4,0,0,Rotational
Art Harris,harriar01,6759.0,-3.1999999999999997,0.0,0,0,Rotational
Art Heyman,heymaar01,11231.0,28.2,0.0,1,0,All-Star
Art Hillhouse,hillhar01,0.0,6.1000000000000005,0.0,0,0,Rotational
Art Long,longar01,1431.0,0.6,-1.3,0,0,Rotational
Art Spector,spectar01,0.0,2.8,0.0,0,0,Rotational
Art Spoelstra,spoelar01,6553.0,10.1,0.0,0,0,Rotational
Art Stolkey,stolkar01,0.0,1.6,0.0,0,0,Rotational
Art Williams,williar01,9418.0,17.7,0.3,0,0,Rotational
Artis Gilmore,gilmoar01,48027.0,190.7,50.8,11,4,Superstar
Arvesta Kelly,kellyar01,4187.0,6.000000000000001,0.0,0,0,Rotational
Arvid Kramer,kramear01,45.0,-0.1,-0.1,0,0,Rotational
Arvydas Macijauskas,macijar01,135.0,0.0,-0.1,0,0,Rotational
Arvydas Sabonis,sabonar01,11375.0,47.1,18.4,0,1,All-Star
Asa Newell,newelas01,500.0,1.2,0.1,0,0,Rotational
Ashraf Amaya,amayaas01,1248.0,1.9000000000000001,-1.0,0,0,Rotational
Ashton Hagans,haganas01,320.0,0.0,-0.1,0,0,Rotational
Askia Jones,jonesas01,139.0,-0.1,-0.2,0,0,Rotational
Aubrey Davis,davisau01,0.0,3.9,0.0,0,0,Rotational
Aud Brindley,brindau01,0.0,0.2,0.0,0,0,Rotational
Audie Norris,norriau01,2585.0,2.9,-1.1,0,0,Rotational
Aulcie Perry,perryau01,415.0,0.1,-0.1,0,0,Rotational
Ausar Thompson,thompau01,4807.0,11.3,3.5,0,0,Rotational
Austin Carr,carrau01,20317.0,32.7,4.6,1,0,All-Star
Austin Croshere,croshau01,11580.0,27.7,5.6,0,0,Starter
Austin Daye,dayeau01,5300.0,6.4,0.19999999999999998,0,0,Rotational
Austin Reaves,reaveau01,10202.0,27.4,7.5,0,0,Starter
Austin Rivers,riverau01,21294.0,19.2,-5.9,0,0,Starter
Avery Bradley,bradlav01,22091.0,17.3,-3.9,0,0,Starter
Avery Johnson,johnsav01,30161.0,62.5,15.0,0,0,All-Star
Awvee Storey,storeaw01,407.0,0.30000000000000004,-0.30000000000000004,0,0,Rotational
Axel Toupane,toupaax01,460.0,0.6,-0.30000000000000004,0,0,Rotational
Ayo Dosunmu,dosunay01,11576.0,22.3,3.4,0,0,Starter
B.J. Armstrong,armstbj01,18979.0,48.0,8.5,1,0,All-Star
B.J. Johnson,johnsbj01,246.0,0.2,-0.1,0,0,Rotational
B.J. Tyler,tylerbj01,809.0,-0.7,-0.6,0,0,Rotational
Bailey Howell,howelba01,30627.0,114.7,0.0,6,1,Superstar
Bam Adebayo,adebaba01,19719.0,64.0,22.2,3,0,All-Star
Barney Cable,cableba01,10596.0,9.2,0.0,0,0,Starter
Baron Davis,davisba01,31822.0,70.3,37.1,2,2,All-Star
Barry Clemens,clemeba01,12585.0,18.7,0.7,0,0,Starter
Barry Kramer,krameba01,1070.0,0.29999999999999993,0.0,0,0,Rotational
Barry Leibowitz,leiboba01,4336.0,3.0,0.0,0,0,Rotational
Barry Nelson,nelsoba01,102.0,0.1,0.0,0,0,Rotational
Barry Orms,ormsba01,5098.0,-1.0,0.0,0,0,Rotational
Barry Parkhill,parkhba01,3116.0,-2.9000000000000004,-3.2,0,0,Rotational
Barry Stevens,steveba01,6.0,0.0,0.0,0,0,Rotational
Barry Sumpter,sumptba01,1.0,0.0,0.0,0,0,Rotational
Barry Yates,yatesba01,144.0,-0.2,0.0,0,0,Rotational
Bart Kofoed,kofoeba01,702.0,0.0,-0.5,0,0,Rotational
Bato Govedarica,govedba01,258.0,0.2,0.0,0,0,Rotational
Bayard Forrest,forreba01,2130.0,2.5999999999999996,0.7,0,0,Rotational
Baylor Scheierman,scheiba01,1813.0,4.5,0.9,0,0,Rotational
Belus Smawley,smawlbe01,139.0,28.4,0.0,0,0,Starter
Ben Bentil,bentibe01,10.0,-0.1,-0.1,0,0,Rotational
Ben Clyde,clydebe01,157.0,0.2,-0.1,0,0,Rotational
Ben Coleman,colembe01,5110.0,6.9,-1.6,0,0,Rotational
Ben Davis,davisbe01,154.0,0.2,-0.1,0,0,Rotational
Ben Gillery,gillebe01,84.0,0.0,-0.2,0,0,Rotational
Ben Goldfaden,goldfbe01,0.0,0.0,0.0,0,0,Rotational
Ben Gordon,gordobe01,20366.0,33.4,8.7,0,0,Starter
Ben Handlogten,handlbe01,469.0,0.8999999999999999,-0.2,0,0,Rotational
Ben Hansbrough,hansbbe01,200.0,0.2,-0.1,0,0,Rotational
Ben Kelso,kelsobe01,298.0,0.0,-0.2,0,0,Rotational
Ben McDonald,mcdonbe01,3692.0,2.5,-2.0,0,0,Rotational
Ben McLemore,mclembe01,13439.0,9.299999999999999,-3.8,0,0,Starter
Ben Moore,moorebe01,9.0,0.0,0.0,0,0,Rotational
Ben Poquette,poquebe01,16367.0,31.6,5.4,0,0,Starter
Ben Saraf,sarafbe01,916.0,-1.1,-1.2,0,0,Rotational
Ben Schadler,schadbe01,0.0,-0.5,0.0,0,0,Rotational
Ben Scharnus,scharbe01,0.0,-0.1,0.0,0,0,Rotational
Ben Sheppard,sheppbe01,3432.0,4.3,-0.7,0,0,Rotational
Ben Simmons,simmobe01,13030.0,37.1,15.299999999999999,3,1,All-Star
Ben Uzoh,uzohbe01,1178.0,0.9,0.4,0,0,Rotational
Ben Wallace,wallabe01,34290.0,97.1,37.4,4,3,Superstar
Ben Warley,warlebe01,9077.0,17.2,0.0,1,0,All-Star
Bennedict Mathurin,mathube01,9149.0,10.4,-2.5,0,0,Rotational
Bennie Swain,swainbe01,708.0,1.9,0.0,0,0,Rotational
